date_month,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
1959-06-01,2.43,5.0,2.0,1.0,0.0
1959-07-01,0.44000000000000006,1.0,0.0,0.0,0.0
1959-08-01,1.27,4.0,1.0,0.0,0.0
1959-09-01,0.08,0.0,0.0,0.0,0.0
1959-10-01,3.5100000000000002,9.0,2.0,1.0,0.0
1959-11-01,4.01,8.0,3.0,1.0,0.0
1959-12-01,6.8,11.0,4.0,1.0,0.0
1960-01-01,4.05,8.0,3.0,1.0,0.0
1960-02-01,3.3899999999999997,9.0,3.0,0.0,0.0
1960-03-01,4.37,12.0,2.0,1.0,0.0
1960-04-01,1.23,4.0,1.0,0.0,0.0
1960-05-01,1.83,4.0,2.0,0.0,0.0
1960-06-01,11.709999999999999,7.0,4.0,3.0,0.0
1960-07-01,5.49,11.0,4.0,1.0,0.0
1960-08-01,8.84,16.0,7.0,1.0,0.0
1960-09-01,5.38,9.0,4.0,1.0,0.0
1960-10-01,9.32,15.0,9.0,2.0,0.0
1960-11-01,6.38,12.0,3.0,1.0,0.0
1960-12-01,4.6,12.0,2.0,0.0,0.0
1961-01-01,6.1,13.0,5.0,0.0,0.0
1961-02-01,3.66,8.0,1.0,1.0,0.0
1961-03-01,0.25,0.0,0.0,0.0,0.0
1961-04-01,5.0,10.0,3.0,1.0,0.0
1961-05-01,4.15,5.0,3.0,3.0,0.0
1961-06-01,3.2700000000000005,6.0,2.0,0.0,0.0
1961-07-01,5.11,7.0,4.0,2.0,0.0
1961-08-01,0.53,2.0,0.0,0.0,0.0
1961-09-01,5.08,9.0,7.0,0.0,0.0
1961-10-01,3.72,10.0,2.0,0.0,0.0
1961-11-01,5.29,11.0,3.0,2.0,0.0
1961-12-01,3.81,9.0,3.0,1.0,0.0
1962-01-01,5.279999999999999,11.0,5.0,1.0,0.0
1962-02-01,2.0300000000000002,5.0,1.0,0.0,0.0
1962-03-01,4.220000000000001,8.0,4.0,1.0,0.0
1962-04-01,3.2299999999999995,7.0,3.0,0.0,0.0
