horizon,model,mse_mean,mse_std,mae_mean,mae_std
90,lstm,305507.45625,10446.126590601658,429.1608093261719,10.90102261410315
90,mtcformer,312404.8375,9970.664367405083,419.4480834960938,7.1253497266176
90,transformer,400071.975,43097.99566071939,490.7158935546875,31.887906567970433
365,lstm,392809.775,111195.22656033134,499.37517700195315,74.6768553991489
365,mtcformer,230515.45625,25969.121826129143,364.1195556640625,22.865849376400565
365,transformer,260870.5875,26659.83833240756,383.4329833984375,22.782390547708793
